id,platform,name,date,type,subject,questions,marks,time,syllabus,link,remarks,status,marks_obtained,potential_marks
GO049,GO Classes,CN Topic Wise Test 2,,Topic,Computer Networks,15,25,45,Network Layer,,,Not Started,,
GO050,GO Classes,CN Topic Wise Test 3,,Topic,Computer Networks,15,25,45,"Routing algorithms, Transport layer",,,Not Started,,
GO051,GO Classes,CN Topic Wise Test 4,,Topic,Computer Networks,15,25,45,"Transport layer, Application Layer",,,Not Started,,
GO052,GO Classes,CN Subject Wise Test 1,,Subject,Computer Networks,30,50,90,Complete Computer Networks Syllabus,,,Not Started,,
GO053,GO Classes,CN Subject Wise Test 2,,Subject,Computer Networks,30,50,90,Complete Computer Networks Syllabus,,,Not Started,,
GO054,GO Classes,CN Subject Wise Test 3,,Subject,Computer Networks,30,50,90,Complete Computer Networks Syllabus,,,Not Started,,
GO055,GO Classes,CD Topic Wise Test 1,,Topic,Compiler Design,15,25,45,"Lexical, Syntax Analysis, Parsers",,,Not Started,,
GO056,GO Classes,CD Topic Wise Test 2,,Topic,Compiler Design,15,25,45,"Semantic Analysis, SDT, SDD, Parser",,,Not Started,,
GO057,GO Classes,CD Topic Wise Test 3,,Topic,Compiler Design,15,25,45,"Intermediate Codes, DAG, SSA, Code Optimisation",,,Not Started,,
GO058,GO Classes,CD Subject Wise Test 1,,Subject,Compiler Design,30,50,90,Complete Compiler Design Syllabus,,,Not Started,,
GO059,GO Classes,CD Subject Wise Test 2,,Subject,Compiler Design,30,50,90,Complete Compiler Design Syllabus,,,Not Started,,
GO060,GO Classes,CD Subject Wise Test 3,,Subject,Compiler Design,30,50,90,Complete Compiler Design Syllabus,,,Not Started,,
GO061,GO Classes,COA Topic Wise Test 1,,Topic,COA,15,25,45,"Basics, Addressing Modes, Control Unit",,,Not Started,,
GO062,GO Classes,COA Topic Wise Test 2,,Topic,COA,15,25,45,Pipelining,,,Not Started,,
GO063,GO Classes,COA Topic Wise Test 3,,Topic,COA,15,25,45,Cache Memory,,,Not Started,,
GO064,GO Classes,COA Topic Wise Test 4,,Topic,COA,15,25,45,"I/O Interfacing, Magnetic Disk",,,Not Started,,
GO065,GO Classes,COA Subject Wise Test 1,,Subject,COA,30,50,90,Complete Computer Organisation Syllabus,,,Not Started,,
GO066,GO Classes,COA Subject Wise Test 2,,Subject,COA,30,50,90,Complete Computer Organisation Syllabus,,,Not Started,,
GO067,GO Classes,COA Subject Wise Test 3,,Subject,COA,30,50,90,Complete Computer Organisation Syllabus,,,Not Started,,
GO068,GO Classes,"CN, DBMS, TOC, CD Full Length Test 2",,Full,Combined,65,100,180,"Complete CN, DBMS, TOC, and CD Syllabus",,,Not Started,,
GO069,GO Classes,OS Topic Wise Test 1,,Topic,Operating Systems,15,25,45,Scheduling,,,Not Started,,
GO070,GO Classes,OS Topic Wise Test 2,,Topic,Operating Systems,15,25,45,"Synchronisation, Deadlock",,,Not Started,,
GO071,GO Classes,OS Topic Wise Test 3,,Topic,Operating Systems,15,25,45,Memory Management,,,Not Started,,
GO072,GO Classes,OS Topic Wise Test 4,,Topic,Operating Systems,15,25,45,"File system, Fork, Systems calls",,,Not Started,,
GO073,GO Classes,OS Subject Wise Test 1,,Subject,Operating Systems,30,50,90,Complete Operating Systems Syllabus,,,Not Started,,
GO074,GO Classes,OS Subject Wise Test 2,,Subject,Operating Systems,30,50,90,Complete Operating Systems Syllabus,,,Not Started,,
